0,1,2,3,4,5,6,7,8,9,10,11,12
1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.452,132.0,1.0,1.06,0.94
2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.452,132.0,1.0,1.1,0.9
3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.452,132.0,1.0,1.1,0.9
4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4519,132.0,1.0,1.1,0.9
5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.167,33.0,1.0,1.1,0.9
6.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.021,-0.4885,132.0,1.0,1.1,0.9
7.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.021,-0.4828,132.0,1.0,1.1,0.9
8.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.001,-2.167,33.0,1.0,1.1,0.9
9.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.001,-2.166,33.0,1.0,1.1,0.9
10.0,1.0,11.1203691,3.6551,0.0,0.0,1.0,0.962,-4.228,11.5,1.0,1.1,0.9
11.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.176,33.0,1.0,1.1,0.9
12.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.175,33.0,1.0,1.1,0.9
13.0,1.0,5.07009599,0.86,0.0,0.0,1.0,0.9594,-3.44,11.5,1.0,1.1,0.9
14.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.17,33.0,1.0,1.1,0.9
15.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.17,33.0,1.0,1.1,0.9
16.0,1.0,6.97016726,1.2,0.0,0.0,1.0,0.9678,-3.9,11.5,1.0,1.1,0.9
17.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.198,33.0,1.0,1.1,0.9
18.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.187,33.0,1.0,1.1,0.9
19.0,1.0,6.98019498,1.218,0.0,0.0,1.0,0.9674,-3.507,11.5,1.0,1.1,0.9
20.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.185,33.0,1.0,1.1,0.9
21.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.185,33.0,1.0,1.1,0.9
22.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.167,33.0,1.0,1.1,0.9
23.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.167,33.0,1.0,1.1,0.9
24.0,1.0,2.32,0.37,0.0,0.0,1.0,0.968,-2.106,11.5,1.0,1.1,0.9
25.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.158,33.0,1.0,1.1,0.9
26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-2.158,33.0,1.0,1.1,0.9
27.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-1.053,66.0,1.0,1.1,0.9
28.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.022,-0.3545,132.0,1.0,1.1,0.9
29.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.001,-1.053,66.0,1.0,1.1,0.9
30.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.021,-0.5294,132.0,1.0,1.1,0.9
31.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.001,-1.053,66.0,1.0,1.1,0.9
32.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9999,-1.081,66.0,1.0,1.1,0.9
33.0,1.0,11.9002324,2.02,0.0,0.0,1.0,0.9641,-4.567,11.5,1.0,1.1,0.9
34.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9998,-1.081,66.0,1.0,1.1,0.9
35.0,2.0,0.0,0.0,0.0,0.0,1.0,1.001,-1.068,66.0,1.0,1.1,0.9
