0
STNTHM1
STNTHM2
STNTHR2
STNTHR1
Barrack Road 33kV
Barrack Road GT2 132kV
Barrack Road GT1 132kV
Barrack Road GT1 33kV
Barrack Road GT2 33kV
University 11kV
University T1 33kV
University T2 33kV
Corporation Street 11kV
Corporation Street T1 33kV
Corporation Street T2 33kV
Educational Precinct 11kV
Educational Precinct T1 33kV
Educational Precinct T2 33kV
Pilgrim 11kV
Pilgrim T1 33kV
Pilgrim T2 33kV
Pandon Red 33kV (Barrack Rd)
Pandon Green 33kV (Barrack Rd)
Gateshead Central 11kV
Gateshead Central T2 33kV
Gateshead Central T1 33kV
Dunston 66kV
Dunston GT2 132kV
Dunston GT2 66kV
Dunston GT1 132kV
Dunston GT1 66kV
Close T1 66kV
Close 11kV
Close T2 66kV
Benwell T1 66kV
Benwell T2 66kV
Benwell 11kV
Team Valley T2 66kV
Team Valley T1 66kV
Team Valley 20kV
"Birtley Grove T2,4 66kV"
Birtley Grove 20kV
"Birtley Grove T1,3 66kV"
Dunston 11kV
Dunston 20kV
Blucher 33kV
Blucher GT1 132kV
Blucher GT1 33kV
Blucher GT2 132kV
Blucher GT2 33kV
Westerhope T1 33kV
Westerhope 11kV
Westerhope T2 33kV
Blucher 11kV
STEW21
STEW2A
SGT3P
SGT3S
SGT1P
SGT1S
SGT2P
SGT2S
STSTHM1
STSTHM2
STSTHR2
STSTHR1
Coalburns 66kV
Coalburns GT1 132kV
Coalburns GT1 66kV
Annfield 66kV (Level Bar Setting 65kV)
Annfield GT1 132kV
Annfield GT1 66kV
Stella-Annfield-Coalburns tee
Coalburns GT2 132kV
Coalburns GT2 66kV
Annfield GT2 132kV
Annfield GT2 66kV
Harraton Red 11kV
Harraton GT2 132kV
Harraton GT2 11kV
Harraton GT1 132kV
Harraton GT1 11kV
SGT4P
SGT4S
SGT5P
SGT5S
Dunston-Blaydon-Coalburns tee 1
Blaydon Burn T1 66kV
Blaydon Burn 11kV
Dunston-Blaydon-Coalburns tee 2
Blaydon Burn T2 66kV
West Wylam T1 66kV
West Wylam 20kV
West Wylam T2 66kV
Prudhoe West T2 11kV
Coalburns-Hexham-Riding tee 2
Coalburns-Hexham Riding tee 1
Hexham 20kV
Hexham T1 66kV
Hexham T2 66kV
Riding Mill Pumps T1 66kV
Riding Mill Pumps T2 66kV
Riding Mill Pumps 11kV
Tanfield T1 66kV
Tanfield 11kV
Tanfield T2 66kV
Annfield T4 66kV
Coalburns-Prudhoe-Wylam tee 1
Coalburns-Prudhoe-Wylam tee 2
Annfield T4 20kV
Annfield T3 20kV
Bensham 11kV
Bensham T1 66kV
Bensham T2 66kV
Prudhoe West T1 11kV
Kimberley Clarke North 11kV
Kimberley Clarke South 11kV
Dunston 11kV (via 20/11kV)
Prudhoe West T2 66kV
Prudhoe West T1 66kV
Ravensworth GT1 132kV
Ravensworth GT2 132kV
Ravensworth 66kV
Ravensworth-Team-Dunston tee 1
Ravensworth-Team-Dunston tee 2
Ravensworth GT2 66kV
Ravensworth GT1 66kV
Consett 20kV
Consett T2 66kV
Consett T1 66kV
Newcastle Airport T1 33kV
Newcastle Airport 11kV
Newcastle Airport T2 33kV
Newburn Haugh T2 132kV
Newburn Haugh 11kV
Newburn Haugh T1 132kV
SGT9S
SGT9P
Harraton Green 11kV
Birtley Grove 11kV
Great Park T1 33kV
Great Park T2 33kV
Kenton Red 33kV
Kenton Green 33kV
Kenton 11kV
RVI Boiler House- Updated model with accepted cable
Kiln Pit Hill 1
Kiln Pit Hill 1 0.4kV
Kiln Pit Hill 2
Kiln Pit Hill 2 0.4kV
Holmeside Gen Sw
Holmeside Gen Sw 0.69kV
Morrison Waste South
Morrison Waste South 0.4kV
Greencroft Amos s/s
Greencroft Amos s/s 0.4kV
Fenham BBC
Fenham BBC 0.4kV
Derwent Reservoir
Derwent Reservoir 0.4kV
Kirkheaton Farm Sw
Kirkheaton Farm Sw 0.69kV
Hospital Intake s/s
Hospital Intake s/s 0.4kV
Burnhills Gen Sw
Burnhills Gen Sw 0.4kV
Path Head Gen Sw
Path Head Gen Sw 0.4kV
Birtley Generation
Kibblesworth Generation 0.4kV
Kibblesworth Generation
Birtley Generation 0.4kV
Blaydon Quarry Landfill
Annfield T3 66kV
Busbar1
Annfield Solar Sw
Green Croft Solar Plant U1
Green Croft Solar Plant U2
132kV Tower T10
Derwenthaugh 29MW BESS + 20MW Gas Gen
RVI Boiler House 0.433kV
Fourstones (FOUR21)
